Month,#Passengers
2003-01,112
2003-02,118
2003-03,132
2003-04,129
2003-05,121
2003-06,135
2003-07,148
2003-08,148
2003-09,136
2003-10,119
2003-11,104
2003-12,118
2004-01,115
2004-02,126
2004-03,141
2004-04,135
2004-05,125
2004-06,149
2004-07,170
2004-08,170
2004-09,158
2004-10,133
2004-11,114
2004-12,140
2005-01,145
2005-02,150
2005-03,178
2005-04,163
2005-05,172
2005-06,178
2005-07,199
2005-08,199
2005-09,184
2005-10,162
2005-11,146
2005-12,166
2006-01,171
2006-02,180
2006-03,193
2006-04,181
2006-05,183
2006-06,218
2006-07,230
2006-08,242
2006-09,209
2006-10,191
2006-11,172
2006-12,194
2007-01,196
2007-02,196
2007-03,236
2007-04,235
2007-05,229
2007-06,243
2007-07,264
2007-08,272
2007-09,237
2007-10,211
2007-11,180
2007-12,201
2008-01,204
2008-02,188
2008-03,235
2008-04,227
2008-05,234
2008-06,264
2008-07,302
2008-08,293
2008-09,259
2008-10,229
2008-11,203
2008-12,229
2009-01,242
2009-02,233
2009-03,267
2009-04,269
2009-05,270
2009-06,315
2009-07,364
2009-08,347
2009-09,312
2009-10,274
2009-11,237
2009-12,278
2010-01,284
2010-02,277
2010-03,317
2010-04,313
2010-05,318
2010-06,374
2010-07,413
2010-08,405
2010-09,355
2010-10,306
2010-11,271
2010-12,306
2011-01,315
2011-02,301
2011-03,356
2011-04,348
2011-05,355
2011-06,422
2011-07,465
2011-08,467
2011-09,404
2011-10,347
2011-11,305
2011-12,336
2012-01,340
2012-02,318
2012-03,362
2012-04,348
2012-05,363
2012-06,435
2012-07,491
2012-08,505
2012-09,404
2012-10,359
2012-11,310
2012-12,337
2013-01,360
2013-02,342
2013-03,406
2013-04,396
2013-05,420
2013-06,472
2013-07,548
2013-08,559
2013-09,463
2013-10,407
2013-11,362
2013-12,405
2014-01,417
2014-02,391
2014-03,419
2014-04,461
2014-05,472
2014-06,535
2014-07,622
2014-08,606
2014-09,508
2014-10,461
2014-11,390
2014-12,432
